cidade;UF;cod_ibge;ICE;ambiente_regulatorio;infraestrutura;mercado;acesso_capital;inovacao;capital_humano;cultura_empreendedora
Salvador;BA;2927408;5.19;5.96;5.15;5.35;5.97;6.25;5.69;7.38
Belém;PA;1501402;5.14;4.33;4.12;6.04;5.91;7.25;5.60;6.87
João Pessoa;PB;2507507;5.05;5.35;5.08;4.98;5.89;5.95;6.56;6.97
São João de Meriti;RJ;3305109;5.03;5.09;5.59;5.21;5.37;4.47;4.89;5.30
Porto Velho;RO;1100205;5.02;6.70;5.03;6.56;5.66;5.87;5.54;9.26
Aparecida de Goiânia;GO;5201405;5.02;5.88;5.68;5.01;5.32;5.74;4.57;6.62
Mossoró;RN;2408003;4.97;6.04;5.98;3.87;5.60;5.37;6.34;6.54
Ananindeua;PA;1500800;4.81;5.67;4.57;5.70;5.39;5.06;4.83;6.67
Maceió;AL;2704302;4.80;5.91;5.12;5.14;5.94;5.47;5.90;7.90
Santarém;PA;1506807;4.80;6.59;4.00;5.59;5.40;4.50;5.57;6.67
Ribeirão das Neves;MG;3154606;4.80;5.45;5.07;4.62;5.21;4.50;4.03;4.81
Feira de Santana;BA;2910800;4.75;5.79;5.38;4.86;5.62;5.17;5.88;7.39
Rio Branco;AC;1200401;4.70;6.08;5.74;5.01;5.68;4.72;5.93;8.02
Caucaia;CE;2303709;4.45;4.63;5.44;5.48;5.27;4.70;3.67;6.80
Petrolina;PE;2611101;4.29;5.16;4.97;4.65;5.52;4.80;6.16;7.69
Olinda;PE;2609600;4.14;4.89;5.08;4.14;5.40;5.61;5.31;7.69
Vitória da Conquista;BA;2933307;4.10;3.91;5.15;4.48;5.62;4.70;6.06;7.28
Paulista;PE;2610707;4.09;4.08;5.61;4.75;5.34;4.97;4.91;7.69
Jaboatão dos Guararapes;PE;2607901;4.08;4.70;5.45;4.85;5.31;4.84;3.97;7.69
Caruaru;PE;2604106;4.03;4.17;5.19;4.38;5.55;4.90;5.94;7.69
